department;position_name;staff_number;employee_name;birthdate;personal_phone;working_phone;tmp_date;hour_count
Управление данными;Инженер данных;1;Пупа Богданович Тверской;17.10.1989;9111111111;9756374626;3;120
Управление данными;Инженер данных;2;Лупа Семенович Попов;24.02.1996;9222222222;;3;43
Управление данными;DevOps;3;Иван Андреевич Ломоносов;01.04.1978;9333333333;;2;89
Управление данными;Начальник отдела;4;Олег Николаевич Романов;21.01.1993;9444444444;9677777777;7;95
Бухгалтерия;Старший бухгалтер;5;Тамара Львовна Орджоникидзе;13.09.1987;9555555555;;2;76
Бухгалтерия;Бухгалтер;6;Светлана Олеговна Бор;29.04.1978;9666666666;9856473856;3;78
Бухгалтерия;Бухгалтер;7;Ольга Романовна Салтыкова;08.03.1992;9777777777;9756474635;1;93
Бухгалтерия;Бухгалтер;8;Юлия Сергеевна Сурменелян;09.12.1989;9888888888;;1;91
Технический отдел;Лаборант;9;Игорь Дмитриевич Красин;19.05.1996;9211111111;;2;19
Технический отдел;Лаборант;10;Мария Тимуровна Кузнецова;02.06.1997;9122222222;;2;67
Технический отдел;Химик;11;Лев Денисович Волков;24.07.1988;9233333333;9846372647;6;84
Технический отдел;Химик;12;Марк Николаевич Морозов;19.08.1978;9244444444;;4;76
Технический отдел;Физик;13;Николай Павлович Дорофеев;09.04.1979;9255555555;;2;59
